index,radius,T,fingerprint_dim,model_path
BAF,3,4,150,../models/model_BAF.pt
BCF,5,7,200,../models/model_BCF.pt
AOH,5,5,150,../models/model_AOH.pt
KOC,6,4,200,../models/model_KOC.pt
HL,5,3,250,../models/model_HL.pt
VP,4,4,200,../models/model_VP.pt
KOA,5,3,250,../models/model_KOA.pt
Biodeg,6,5,200,../models/model_Biodeg.pt
BP,4,5,200,../models/model_BP.pt
KM,6,5,200,../models/model_KM.pt
LogP,4,5,200,../models/model_LogP.pt
MP,6,6,200,../models/model_MP.pt
pKa_acidic,5,2,200,../models/model_pKa_acidic.pt
pKa_basic,5,4,200,../models/model_pKa_basic.pt
WS,4,7,200,../models/model_WS.pt
Z50,5,3,200,../models/models_Z50.pt
